M,TICKS,TICK Time (sec),lambda,L : Packet length (bits),C = bits per secound,K: Buffer capacity (zero = inf),Service Time (Ticks),E[N] Avg num of packets in queue,E[T] Avg sojourn time (sec),P_Loss - packet loss,P_Idle - server idle (sec),Total Packets,Average Time (sec),Total Time (sec)
5,6000000,0.001,100,2000,1000000,0,2000,603.8,233.6357494339658,0,0.0000009998740091889961,0.023519803919967316,0.10460598000000002,0.5370307000000001
5,6000000,0.001,100,2000,1000000,0,2000,597.6,236.66823264277156,0,0.000000999875621894603,0.023585803930967323,0.10380596,0.5330305000000001
5,60000000,1,100,2000,1000000,0,2,5710990.4,0.1175205688252772,0,0.0008948039285932528,0.01118598351976639,3.38679372,16.9489695
5,60000000,0.01,100,2000,1000000,0,200,60165,24.87042663187597,0,0.000009987472669366849,0.02493959041565984,1.0662610000000001,5.3463058
5,60000000,0.001,100,2000,1000000,0,2000,5978.8,243.36016481286052,0,0.0000009998755601130605,0.024264013737733563,1.04505976,5.2412998
5,600000000,0.001,100,2000,1000000,0,2000,60077.2,250.1239717614555,0,0.0000009998748141613188,0.02504602870841005,10.31919026,51.611952
5,600000000,0.001,100,2000,1000000,0,2000,59781.6,248.10149874261407,0,0.000000999875583000447,0.024721107707868513,10.314789979999999,51.5839504
5,600000000,0.001,150,2000,1000000,0,2000,90094,432.1169006227131,0,0.0000009997854395642507,0.06488505177480841,9.9703703,49.8608519
5,600000000,0.001,200,2000,1000000,0,2000,119936.4,662.7700139671175,0,0.000000999667066375516,0.13248642488747736,9.60474936,48.0337474
5,600000000,0.001,250,2000,1000000,0,2000,149833.6,997.3641206865901,0,0.000000999501350932429,0.24907405908179014,9.267930119999999,46.3496511
5,600000000,0.001,300,2000,1000000,0,2000,180130.8,1499.4354564932678,0,0.0000009992491955209322,0.4501624490836041,8.90530936,44.5365473
5,600000000,0.001,350,2000,1000000,0,2000,210005.4,2319.262995770615,0,0.0000009988345502995933,0.8117646846862744,8.54688886,42.7434448
5,600000000,0.001,400,2000,1000000,0,2000,239854.6,3997.8021358145006,0,0.0000009980099015903627,1.5981746266636245,8.2014691,41.017346
5,600000000,0.001,450,2000,1000000,0,2000,269806.6,9040.583382364708,0,0.0000009955514939708037,4.065367232775612,7.87305032,39.3752522
